platform,source_post_id,source_post_url,post_title,post_author,post_time,post_content_summary,post_like_count,post_collect_count,comment_user,comment_time,comment_text,crawl_time
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,窝惹你了嘛,2025-07-29 23:25:59 湖北,所以汪苏泷为啥要争,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:26:08 河北,谁在争啊？谁先跳出来的？,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,香煎萝卜糕,2025-07-29 23:26:25 广东,火的是zbc那版，人家不愿意认双原唱怎么了。编曲和演唱人一换，根本就不是大众听的那首。又没人抢汪的创作功劳。他来抢原唱就很莫名其妙。其它创作人自己翻唱一版也很常见，但没有人去抢原唱的。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,可怜村村长,2025-07-29 23:26:34 江苏,之前完全不知道汪唱过年轮，男的小心眼子，唱的还难听,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,福灵剂,2025-07-29 23:26:39 浙江,为什么叫他杜鹃啊？,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,窝惹你了嘛,2025-07-29 23:26:41 湖北,不唱也是原唱，张碧晨也不缺这首歌啊,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:26:54 美国,ls那个阿茶我直接拉黑了 浑身清爽 已经将东西弄碎到她嘴边了 还在说有啥好争有啥好争 以后恐怕还会被她无语到,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,收拾东西回扬州,2025-07-29 23:27:04 青海,那天看小🍠好像这首歌还涉嫌抄袭吧？一个人怎么能不体面成这样啊🤮,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,真城璃茉,2025-07-29 23:27:08 浙江,争来争去，大家不还是只会听自己爱听的那一版,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,必住黄金屋,2025-07-29 23:27:24 浙江,也算是他权力，但其他有名有姓歌手给别人写歌我没见过这个阵仗。。感觉比较微妙,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:27:38 江苏,那你觉得好的结果就是杜鹃也叫原唱是吧。。杜鹃轻轻一巴掌。。无辜的原唱十八掌。。好公平公正,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:27:42 山东,感觉好多人的发言，这里应该也不太可能是汪的粉丝吧，还是在外面吃错瓜了。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,m30,2025-07-29 23:27:49 河南,就…第一次理解抽象这个词，很莫名其妙，不知道在争啥,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:28:00 美国,而且当初抄袭爆出来的时候都在骂zbc 汪杜鹃美美隐身 时过境迁现在跳出来收版权说自己是原唱 神经的很,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,动物侦查长,2025-07-29 23:28:02 福建,我在xhs看到一堆站汪的，就是觉得这个风波很无语，0人加成,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,皮卡布,2025-07-29 23:28:09 山西,莫名其妙，吃瓜群众不懂为什么能吵起来闹这么大，都交给法律判去！别老在网上升堂了,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,喂喂喂喂,2025-07-29 23:29:07 内蒙古,谁唱的好听谁的，反正钱不会进我口袋里...当然选张碧晨,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,叽里咕噜,2025-07-29 23:29:12 广东,两个没啥作品的菜🐔互啄,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:29:19 美国,吃错瓜了 ls我有贴链接时间线 zbc没那么多粉 这事情一开始就是豆瓣发现汪杜鹃不做人开始发酵 只有豆瓣一直支持zbc 外面连zbc偷内裤都造谣出来,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:30:19 江苏,因为大杜鹃发现某个倒霉蛋正在筑巢孵化，就会躲在能看到宿主鸟巢的高处，等待时机，待宿主离开时将卵衔入鸟巢，然后将主人鸟巢中的卵叼走一个丢弃。 杜鹃鸟的卵还没生下来在肚子里就开始孕育了，因此一般比宿主的鸟蛋孵化更快，当杜鹃雏鸟孵化出来后，立刻显示出嗜杀的本性，它们会将巢中刚出生的同伴或还未孵化出的卵拱出鸟巢摔碎摔死，而其“养母”即便看见了，也傻乎乎毫无办法，还越来越亲热的喂养这个“独子”。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,已注￳销,2025-07-29 23:30:21 四川,杜鹃是哪个,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,今天掷骰子了吗,2025-07-29 23:30:32 河北,他俩唱歌我都不喜欢 但是浑水摸鱼的奶爸粉趁机洗白真的🤢,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,nomo,2025-07-29 23:30:46 上海,乐坛杜鹃惯犯了 又不是只偷了这一个原唱 这人就是人不行,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,seven,2025-07-29 23:31:04 四川,然后呢？就是不让你唱你能怎么办呢。最后就变成了悬挂在墙上标记着原唱为你的一个文物。越来越多新的东西塞进房间，时间过去的再久一点，房间塞得再满一点，你甚至都忘记了那个标记着原唱的物件悬挂在哪里了。甚至都忘记这个歌了。因为所有人都不让唱了。,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,Tyche阿茶,2025-07-29 23:31:08 天津,没有意义啊，听张碧晨唱的说起这首歌想到的是张碧晨，听汪苏泷唱的说这歌想到的是汪苏泷，所以到底在争什么啊……,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:31:37 山西,有点没意思 感觉是两个人闹掰了,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,晚风,2025-07-29 23:32:17 上海,汪莫名其妙把版权收回来，还把网红几年前的截图扒出来说双原唱，估计早就想收版权找个理由。他真是把原创歌手的路堵死了，以后不买断谁还敢唱火一首歌😓,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,窝惹你了嘛,2025-07-29 23:32:20 湖北,0人在意你想到谁，原唱是一个客观事实,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,恶性依赖,2025-07-29 23:32:34 广西,汪就是很恶心,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,一瓶水,2025-07-29 23:32:38 北京,无脑站女,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:32:41 江苏,不唱就不唱呗，我损失什么了？ 但乐坛杜鹃这种小人行为我看不爽我就是要嘴～,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,momo,2025-07-29 23:32:44 江苏,那你要问汪苏泷在争什么了,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,网络游民 ✨,2025-07-29 23:32:49 美国,是啊 汪杜鹃太坏了……怎么能这样对音乐作品😭,2026-05-29 15:46:48
豆瓣,332429416,https://www.douban.com/group/topic/332429416/,鹅组er如何看待年轮事件？,窝惹你了嘛,2025-07-29 23:14:09,唯一原唱PK双原唱讨论,8,4,啦啦啦,2025-07-29 23:32:55 河北,八组还有i汪啊，点赞还挺多，人家张碧晨就是最早发歌的原唱，什么叫突然冒出来的？汪苏泷那个叫原创，孩子妈也没抢他的，是现在汪非得来抢原唱，孩子妈不说唯一原唱，以后的歌写曲子的都出来说这是双原唱，那她还有自己的歌么？创作歌手的多了，周杰伦林俊杰都给别人写了几百首歌，谁也没像杜鹃这样抢原唱的,2026-05-29 15:46:48
