comment_id,platform,song_version,source_id,source_url,publish_time,user_name,text_raw,text_clean,like_count,reply_count,stance,frame,emotion,event_stage,is_valid,crawl_time,keyword_hit
qq_24,qqmusic,张碧晨版,,,2026-05-24,元宝,"《年轮》是《花千骨》电视剧的经典插曲，汪苏泷研读原著后量身打造的中国风作品。张碧晨用极具叙事感的嗓音，将""有缘却无分""的遗憾唱得入骨，副歌""密密麻麻是我的自尊""道尽青春里的倔强与心酸。1500万人收藏的旋律，总在某个深夜轻轻叩响回忆。","《年轮》是《花千骨》电视剧的经典插曲，汪苏泷研读原著后量身打造的中国风作品。张碧晨用极具叙事感的嗓音，将""有缘却无分""的遗憾唱得入骨，副歌""密密麻麻是我的自尊""道尽青春里的倔强与心酸。1500万人收藏的旋律，总在某个深夜轻轻叩响回忆。",0,,unclear,memory_emotion,mocking,cooldown,1,2026-05-29 17:59:37,
qq_25,qqmusic,张碧晨版,,,2026-05-24,千祥云集,原唱歌手也参与了关键部分的创作，作为一个音乐消费者，我希望最终的商演版权由原唱歌手拿着，因为如果由资本或者原创者拿着的话，我也许再也不能听到原唱了，他们真的会做出去除原唱，污染我的耳朵的事情 | 人也没说错吧 你倒是让张杜鹃唱啊,原唱歌手也参与了关键部分的创作，作为一个音乐消费者，我希望最终的商演版权由原唱歌手拿着，因为如果由资本或者原创者拿着的话，我也许再也不能听到原唱了，他们真的会做出去除原唱，污染我的耳朵的事情 | 人也没说错吧 你倒是让张杜鹃唱啊,2,,support_wang,creator_identity,mocking,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_26,qqmusic,张碧晨版,,,2026-05-24,千祥云集,现在热度降下来了，路人退场了，汪杜鹃粉丝又想春秋笔法岁月史书了。引导自己粉丝网暴，收回版权，张碧晨方才回应为唯一原唱。玩音乐的都知道，原唱这玩意就是谁先唱是谁的，汪这么做我们内会群里都炸了 | 张杜鹃唯一不能唱,现在热度降下来了，路人退场了，汪杜鹃粉丝又想春秋笔法岁月史书了。引导自己粉丝网暴，收回版权，张碧晨方才回应为唯一原唱。玩音乐的都知道，原唱这玩意就是谁先唱是谁的，汪这么做我们内会群里都炸了 | 张杜鹃唯一不能唱,5,,support_zhang,original_singer,mocking,cooldown,1,2026-05-29 17:59:37,唯一原唱;路人;杜鹃
qq_27,qqmusic,张碧晨版,,,2026-05-24,千祥云集,"作为已经不听 国语歌的人 吃瓜纯乐子人
他不是一次两次 抢原唱了 挺掉路人缘的
我听歌的年代 罗大佑 伍佰 李宗盛 经常给其他人写歌 然后自己也唱 就是两个版本 歌迷爱听那个版本就听那个版本呗 谁也没挣过谁原唱",作为已经不听 国语歌的人 吃瓜纯乐子人他不是一次两次 抢原唱了 挺掉路人缘的我听歌的年代 罗大佑 伍佰 李宗盛 经常给其他人写歌 然后自己也唱 就是两个版本 歌迷爱听那个版本就听那个版本呗 谁也没挣过谁原唱,6,,neutral,unclear,mocking,cooldown,1,2026-05-29 17:59:37,路人
qq_28,qqmusic,张碧晨版,,,2026-05-24,千祥云集,又不是所有歌手都是创作型歌手，vocal歌手也很多啊。以前的天王巨星大多数也不是创作型歌手，你可以每一个都去反驳啊,又不是所有歌手都是创作型歌手，vocal歌手也很多啊。以前的天王巨星大多数也不是创作型歌手，你可以每一个都去反驳啊,2,,unclear,creator_identity,unclear,cooldown,1,2026-05-29 17:59:37,
qq_29,qqmusic,张碧晨版,,,2026-05-24,嗖啪,按你的三观，劳荣枝和吴亦凡也好可怜,按你的三观，劳荣枝和吴亦凡也好可怜,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_30,qqmusic,张碧晨版,,,2026-05-24,收敛.,那你让张杜鹃把唯一原唱抢回来 让她唱呗,那你让张杜鹃把唯一原唱抢回来 让她唱呗,0,,support_zhang,original_singer,unclear,cooldown,1,2026-05-29 17:59:37,唯一原唱;杜鹃
qq_31,qqmusic,张碧晨版,,,2026-05-24,收敛.,你又隔这造💊了呗 | 而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的😂😂😂,你又隔这造了呗 | 而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_32,qqmusic,张碧晨版,,,2026-05-24,收敛.,当时说过 但是去剧里搜了没有 就否认了好吧 | 而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的😂😂😂,当时说过 但是去剧里搜了没有 就否认了好吧 | 而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_33,qqmusic,张碧晨版,,,2026-05-24,收敛.,还有什么叫自己唱一版分一杯羹 男版翻唱9天后张杜鹃版本的呗 真厉害👍👍👍 时间线都搞不清楚 就在这bb￼,还有什么叫自己唱一版分一杯羹 男版翻唱9天后张杜鹃版本的呗 真厉害 时间线都搞不清楚 就在这bb,0,,support_wang,unclear,sad,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_34,qqmusic,张碧晨版,,,2026-05-24,收敛.,唱歌不好听的演唱会开一百多场 路人都眼🦐呗 就你最聪明了 下次张杜鹃开live house一定要买票支持呀,唱歌不好听的演唱会开一百多场 路人都眼呗 就你最聪明了 下次张杜鹃开live house一定要买票支持呀,0,,neutral,unclear,supportive,cooldown,1,2026-05-29 17:59:37,路人;杜鹃
qq_35,qqmusic,张碧晨版,,,2026-05-24,收敛.,对啊 唱歌这么好听张杜鹃演唱会万人嫌 观都开不起来,对啊 唱歌这么好听张杜鹃演唱会万人嫌 观都开不起来,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_36,qqmusic,张碧晨版,,,2026-05-24,收敛.,笑死我了 张杜鹃敢否认人家原创吗 🤣 没否认创作能力就要感恩戴德？？？,笑死我了 张杜鹃敢否认人家原创吗 没否认创作能力就要感恩戴德？？？,0,,support_wang,creator_identity,mocking,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_37,qqmusic,张碧晨版,,,2026-05-24,收敛.,人也没说错吧 你倒是让张杜鹃唱啊 | 乐子😆,人也没说错吧 你倒是让张杜鹃唱啊 | 乐子,1,,support_wang,unclear,mocking,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_38,qqmusic,张碧晨版,,,2026-05-24,收敛.,张杜鹃唯一不能唱,张杜鹃唯一不能唱,1,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_39,qqmusic,张碧晨版,,,2026-05-24,收敛.,可怜必有可恨之处,可怜必有可恨之处,6,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_40,qqmusic,张碧晨版,,,2026-05-23,910_diamond_晨♬ ,招笑，好尴尬呀，0人在意,招笑，好尴尬呀，0人在意,4,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_41,qqmusic,张碧晨版,,,2026-05-23,。,综艺歌手，汪苏泷和华晨宇是原唱歌手 | 张碧晨一个业余翻唱者，也配叫歌手？,综艺歌手，汪苏泷和华晨宇是原唱歌手 | 张碧晨一个业余翻唱者，也配叫歌手？,0,,unclear,original_singer,unclear,cooldown,1,2026-05-29 17:59:37,
qq_42,qqmusic,张碧晨版,,,2026-05-23,1点点,大人，十专转净网杀招，好像快坚持不住了，解封有望啊。,大人，十专转净网杀招，好像快坚持不住了，解封有望啊。,0,,unclear,unclear,supportive,cooldown,1,2026-05-29 17:59:37,
qq_43,qqmusic,张碧晨版,,,2026-05-22,小啾啾,而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的😂😂😂,而且花千骨里面根本就没男版，他粉丝已经开始造谣改记忆了，说花千骨里有男生唱的,5,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_44,qqmusic,张碧晨版,,,2026-05-22,以诗忆梦,个人比较喜欢这首歌而已 | 你到底有什么没忘的人啊？听这么久啊,个人比较喜欢这首歌而已 | 你到底有什么没忘的人啊？听这么久啊,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_45,qqmusic,张碧晨版,,,2026-05-22,零碎小然.,2026年3月15日晚 止步于火神杯32强的均昊 一边听着《 年轮 》一边打高分段位赛此时距离他拿下浮夸杯冠军还有17天 | 我靠你也看均昊,2026年3月15日晚 止步于火神杯32强的均昊 一边听着《 年轮 》一边打高分段位赛此时距离他拿下浮夸杯冠军还有17天 | 我靠你也看均昊,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_46,qqmusic,张碧晨版,,,2026-05-22,零碎小然.,唉盖哥 | 我靠你也看均昊,唉盖哥 | 我靠你也看均昊,0,,unclear,unclear,sad,cooldown,1,2026-05-29 17:59:37,
qq_47,qqmusic,张碧晨版,,,2026-05-22,詞海.,你到底有什么没忘的人啊？听这么久啊,你到底有什么没忘的人啊？听这么久啊,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_48,qqmusic,张碧晨版,,,2026-05-22,長島花茶,乐子😆,乐子,14,,unclear,unclear,mocking,cooldown,1,2026-05-29 17:59:37,
qq_49,qqmusic,张碧晨版,,,2026-05-21,Hermes,没有,没有,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_50,qqmusic,张碧晨版,,,2026-05-21,Gloriasooyaaa,😅唱功归唱功 歌曲归歌曲 但是张碧晨确实适合唱这种古风的OST 只能说大众的受众在这儿 | 看看飙升榜还有收藏量，观众就是爱听张碧晨，你家哥哥就是不行😆,唱功归唱功 歌曲归歌曲 但是张碧晨确实适合唱这种古风的OST 只能说大众的受众在这儿 | 看看飙升榜还有收藏量，观众就是爱听张碧晨，你家哥哥就是不行,0,,support_zhang,memory_emotion,unclear,cooldown,1,2026-05-29 17:59:37,
qq_51,qqmusic,张碧晨版,,,2026-05-21,卡布叻_大猫,纯招笑,纯招笑,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
